,Club,league,Expenditure,Arrivals,Income,Departures,Balance,season,league_id
323,FC Barcelona,LaLiga,60000000.0,12,46950000.0,12,-13050000.0,2011/2012,21518
324,Málaga CF,LaLiga,59250000.0,16,0.0,16,-59250000.0,2011/2012,21518
325,Real Madrid,LaLiga,56000000.0,6,8000000.0,7,-48000000.0,2011/2012,21518
326,Valencia CF,LaLiga,34000000.0,15,32900000.0,15,-1100000.0,2011/2012,21518
327,Villarreal CF,LaLiga,31300000.0,16,26850000.0,14,-4450000.0,2011/2012,21518
328,Sevilla FC,LaLiga,19000000.0,18,15700000.0,20,-3300000.0,2011/2012,21518
329,Granada CF,LaLiga,12190000.0,34,150000.0,32,-12040000.0,2011/2012,21518
330,Real Zaragoza,LaLiga,11500000.0,19,15800000.0,21,4300000.0,2011/2012,21518
331,Athletic Bilbao,LaLiga,7500000.0,6,0.0,7,-7500000.0,2011/2012,21518
332,RCD Espanyol Barcelona,LaLiga,6500000.0,20,25000000.0,18,18500000.0,2011/2012,21518
333,RCD Mallorca,LaLiga,3600000.0,12,9750000.0,12,6150000.0,2011/2012,21518
334,Real Betis Balompié,LaLiga,3440000.0,14,4500000.0,15,1070000.0,2011/2012,21518
335,Getafe CF,LaLiga,3300000.0,18,18580000.0,16,15280000.0,2011/2012,21518
336,CA Osasuna,LaLiga,2600000.0,15,8300000.000000001,15,5700000.0,2011/2012,21518
337,Levante UD,LaLiga,1550000.0,16,8000000.0,20,6450000.0,2011/2012,21518
338,Real Sociedad,LaLiga,1500000.0,8,0.0,10,-1500000.0,2011/2012,21518
339,Sporting Gijón,LaLiga,1500000.0,10,4500000.0,6,3000000.0,2011/2012,21518
340,Racing Santander,LaLiga,350000.0,13,2100000.0,15,1750000.0,2011/2012,21518
341,Rayo Vallecano,LaLiga,340000.0,16,1800000.0,18,1460000.0,2011/2012,21518
342,Olympique Lyon,Ligue 1,57800000.0,16,34000000.0,14,-23800000.0,2008/2009,4769
343,Olympique Marseille,Ligue 1,36120000.0,23,23650000.0,27,-12470000.0,2008/2009,4769
344,OGC Nice,Ligue 1,20250000.0,14,35900000.0,14,15650000.0,2008/2009,4769
345,LOSC Lille,Ligue 1,18500000.0,13,20300000.0,17,1800000.0,2008/2009,4769
346,Le Mans Union Club 72,Ligue 1,14300000.0,12,26400000.0,17,12100000.0,2008/2009,4769
347,Stade Rennais FC,Ligue 1,14000000.0,16,11950000.0,14,-2049999.9999999998,2008/2009,4769
348,Paris Saint-Germain,Ligue 1,10500000.0,15,21750000.0,16,11250000.0,2008/2009,4769
349,AS Nancy-Lorraine,Ligue 1,10500000.0,13,15400000.0,16,4900000.0,2008/2009,4769
350,FC Toulouse,Ligue 1,9800000.0,17,22700000.0,20,12900000.0,2008/2009,4769
351,AS Saint-Étienne,Ligue 1,9500000.0,18,11000000.0,13,1500000.0,2008/2009,4769
352,FC Nantes,Ligue 1,8600000.0,18,6600000.0,20,-2000000.0,2008/2009,4769
353,AJ Auxerre,Ligue 1,8400000.0,13,3400000.0,11,-5000000.0,2008/2009,4769
354,FC Girondins Bordeaux,Ligue 1,7900000.0,11,2500000.0,14,-5400000.0,2008/2009,4769
355,Valenciennes FC,Ligue 1,7800000.0,12,10200000.0,14,2400000.0,2008/2009,4769
356,SM Caen,Ligue 1,7640000.0,13,7820000.0,12,175000.0,2008/2009,4769
357,FC Sochaux-Montbéliard,Ligue 1,6550000.0,17,5800000.0,19,-750000.0,2008/2009,4769
358,AS Monaco,Ligue 1,5200000.0,24,22650000.0,20,17450000.0,2008/2009,4769
359,FC Lorient,Ligue 1,3000000.0,15,0.0,14,-3000000.0,2008/2009,4769
360,Grenoble Foot 38,Ligue 1,1480000.0,15,350000.0,8,-1130000.0,2008/2009,4769
361,Le Havre AC,Ligue 1,400000.0,19,3000000.0,18,2600000.0,2008/2009,4769
362,Olympique Lyon,Ligue 1,82700000.0,15,53000000.0,11,-29700000.0,2009/2010,4769
363,Olympique Marseille,Ligue 1,42300000.0,25,27800000.0,23,-14500000.0,2009/2010,4769
364,FC Girondins Bordeaux,Ligue 1,28500000.0,15,11000000.0,12,-17500000.0,2009/2010,4769
365,AS Saint-Étienne,Ligue 1,19500000.0,13,14400000.0,13,-5100000.0,2009/2010,4769
366,Paris Saint-Germain,Ligue 1,15500000.0,15,6300000.0,17,-9200000.0,2009/2010,4769
367,Stade Rennais FC,Ligue 1,14600000.0,18,13800000.0,21,-798000.0,2009/2010,4769
368,AS Monaco,Ligue 1,9900000.0,19,6080000.0,20,-3830000.0,2009/2010,4769
369,LOSC Lille,Ligue 1,8600000.0,14,18750000.0,17,10150000.0,2009/2010,4769
370,FC Sochaux-Montbéliard,Ligue 1,7500000.0,17,10200000.0,17,2700000.0,2009/2010,4769
371,FC Lorient,Ligue 1,7000000.0,17,9500000.0,19,2500000.0,2009/2010,4769
372,FC Toulouse,Ligue 1,6000000.0,12,12450000.0,11,6450000.0,2009/2010,4769
